"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @DrPanMD: \"The #flu vaccine’s arguably more important purpose is preventing flu hospitalizations and deaths.... getting... https://t.co/…",FALSE,0,NA,2018-03-10 05:28:04,FALSE,NA,"972343307396292608",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","cna006",1,TRUE,FALSE,NA,NA
"2","RT @CDCgov: Latest #FluView report shows the number of states with widespread or high flu activity has dropped but many states are still se…",FALSE,0,NA,2018-03-10 05:20:04,FALSE,NA,"972341296143593473",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MAGAnNoHate",29,TRUE,FALSE,NA,NA
"3","RT @CDCgov: #Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is e…",FALSE,0,NA,2018-03-10 05:12:23,FALSE,NA,"972339360359215104",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","OKCIndianClinic",49,TRUE,FALSE,NA,NA
"4","RT @CDCgov: #Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is e…",FALSE,0,NA,2018-03-10 05:11:34,FALSE,NA,"972339155823923200",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","miami_lo",49,TRUE,FALSE,NA,NA
"5","RT @epaultaylor: #Flu vaccine grown without eggs provided measurably better protection this season, FDA says
By @HelenBranswell via @statne…",FALSE,0,NA,2018-03-10 05:08:09,FALSE,NA,"972338295211401216",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","maureentaylor31",2,TRUE,FALSE,NA,NA
"6","RT @CDCgov: #Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is e…",FALSE,0,NA,2018-03-10 04:59:58,FALSE,NA,"972336235413889025",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","FeG_MO",49,TRUE,FALSE,NA,NA
"7","RT @CDCgov: Latest #FluView report shows the number of states with widespread or high flu activity has dropped but many states are still se…",FALSE,0,NA,2018-03-10 04:52:24,FALSE,NA,"972334332164624384",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","elisabelaslate",29,TRUE,FALSE,NA,NA
"8","Twitter: Please help. My friend got what sounds like a #flu virus a week to two weeks ago. Intense productive deep… https://t.co/hCxqd2fiOI",FALSE,0,NA,2018-03-10 04:36:59,TRUE,NA,"972330451497975808",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","CarolBanksWeber",0,FALSE,FALSE,NA,NA
"9","RT @DrPanMD: \"The #flu has been spreading quickly in California — and it’s not over yet. A late-season strain is going... https://t.co/nvll…",FALSE,0,NA,2018-03-10 04:29:25,FALSE,NA,"972328546109542400",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Grrrregory",1,TRUE,FALSE,NA,NA
"10","I’ll be in the shower until my cold is over if anybody needs me. #cold #flu #sick #cantbreathe",FALSE,0,NA,2018-03-10 04:23:26,FALSE,NA,"972327043982602240",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","OriginalCynthia",0,FALSE,FALSE,NA,NA
"11","RT @JanssenGlobal: There is a clear need to find new ways to limit #influenza outbreaks. #FightFlu. Learn more about #Janssen’s aim to deve…",FALSE,0,NA,2018-03-10 04:20:18,FALSE,NA,"972326254929092608",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","TheresaReichert",31,TRUE,FALSE,NA,NA
