"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @riverside: Don't touch your face. If you touch a contaminated surface and then touch your face, you welcome the #flu virus in. https://…",FALSE,0,NA,2018-03-06 02:33:31,FALSE,NA,"970849830657515527",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jrcookejr",0,TRUE,FALSE,NA,NA
"2","RT @DeloitteHealth: See how the #flu epidemic is turning more patients to #digital health tools via @MobiHealthNews https://t.co/t6emFC6tTU",FALSE,0,NA,2018-03-06 02:27:18,FALSE,NA,"970848263787053056",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","PharmaDecisions",2,TRUE,FALSE,NA,NA
"3","Help stop the spread of the #flu: get vaccinated, wash your hands, cover coughs and sneezes - and stay home when si… https://t.co/ncNgqBCZhq",FALSE,0,NA,2018-03-06 02:25:00,TRUE,NA,"970847685514223617",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SDCountyHHSA",0,FALSE,FALSE,NA,NA
"4","A hundred years later, we're still not sure why the Spanish #flu killed so many people https://t.co/w6hBupqmbc #Genealogy",FALSE,0,NA,2018-03-06 02:24:39,FALSE,NA,"970847596779659264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FamilyStoryArt",0,FALSE,FALSE,NA,NA
"5","Stop the #flu before it stops you. Get your #FluShot! https://t.co/4vONSr5DPh #BeKP https://t.co/PZV27li45R",FALSE,0,NA,2018-03-06 02:15:08,FALSE,NA,"970845203626999808",NA,"<a href=""http://dynamicsignal.com/"" rel=""nofollow"">Dynamic Signal</a>","catepa",0,FALSE,FALSE,NA,NA
"6","RT @LotusOak: #CDC Acknowledged that ""Nasal Spray"" #Flu #Vaccine Did Not Work &amp; Should Not Be Used 

https://t.co/1t2x1ngJAM https://t.co/b…",FALSE,0,NA,2018-03-06 02:07:28,FALSE,NA,"970843275375644672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DARIOGRUNDLER",58,TRUE,FALSE,NA,NA
"7","RT @LotusOak: #CDC Acknowledged that ""Nasal Spray"" #Flu #Vaccine Did Not Work &amp; Should Not Be Used 

https://t.co/1t2x1ngJAM https://t.co/b…",FALSE,0,NA,2018-03-06 02:05:40,FALSE,NA,"970842819047952385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","svagdis",58,TRUE,FALSE,NA,NA
"8","RT @LotusOak: Nurse Warns of ""Biogenics [Biologics]"" &amp; Forced #Flu Shots Happening in US Hospitals

https://t.co/DbQIcMmAFj https://t.co/Dr…",FALSE,0,NA,2018-03-06 02:05:22,FALSE,NA,"970842746394202117",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tbigggs",18,TRUE,FALSE,NA,NA
"9","RT @TheLogNewspaper: The Port of #SanDiego will host a vaccination event at #ShelterIsland, 10a-noon on March 15. Limited #flu shots will b…",FALSE,0,NA,2018-03-06 02:03:52,FALSE,NA,"970842369233842176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LuminousCitySD",2,TRUE,FALSE,NA,NA
"10","Science says cold and #flu viruses transfer in very different ways than we think https://t.co/ekQY3NrGNs",FALSE,1,NA,2018-03-06 02:00:45,FALSE,NA,"970841582193790976",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PhiBetaKappa",0,FALSE,FALSE,NA,NA
"11","Researchers turn to #mRNA in the search for a universal #flu vaccine #biopharma https://t.co/mG6QZjqtuc https://t.co/slfdi4Ko0x",FALSE,0,NA,2018-03-06 01:51:06,FALSE,NA,"970839154618765313",NA,"<a href=""http://www.qnary.com"" rel=""nofollow"">Qnary.io</a>","Haro_Hartounian",0,FALSE,FALSE,NA,NA
"12","RT @LotusOak: #CDC Acknowledged that ""Nasal Spray"" #Flu #Vaccine Did Not Work &amp; Should Not Be Used 

https://t.co/1t2x1ngJAM https://t.co/b…",FALSE,0,NA,2018-03-06 01:48:41,FALSE,NA,"970838547145134080",NA,"<a href=""http://facebook.com/burnayeva"" rel=""nofollow"">LotusOak</a>","LotusOak",58,TRUE,FALSE,NA,NA
"13","@AboutTobacco @truthorange #BloodyNoses/Responsible for giving people weaker immune systems that can lead to possib… https://t.co/t6VzikCk1g",FALSE,0,"AboutTobacco",2018-03-06 01:48:15,TRUE,NA,"970838438764302336","749448380263182336","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GHOST69027",0,FALSE,FALSE,NA,NA
"14","@BFHD: #Flu claims 18 lives in #Benton and #Franklin counties since December &gt;&gt; https://t.co/mFFj2Apkpv https://t.co/vGkRYCjsfz",FALSE,0,"BFHD",2018-03-06 01:47:46,FALSE,NA,"970838315929759745","36788670","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","keprtv",0,FALSE,FALSE,NA,NA
"15","RT @nlpruitt: Some #flu symptoms are less obvious than others. This is very useful information from @childrensatl for people of all ages. #…",FALSE,0,NA,2018-03-06 01:41:31,FALSE,NA,"970836744760365057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","G_Thomas23",2,TRUE,FALSE,NA,NA
"16","RT @LotusOak: Nurse Warns of ""Biogenics [Biologics]"" &amp; Forced #Flu Shots Happening in US Hospitals

https://t.co/DbQIcMmAFj https://t.co/Dr…",FALSE,0,NA,2018-03-06 01:41:08,FALSE,NA,"970836645229428737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Manumit1963",18,TRUE,FALSE,NA,NA
"17","RT @995QYK: #Florida Teen Received Devastating News After Being Misdiagnosed With The #Flu: https://t.co/wkOgPuQ3kE",FALSE,0,NA,2018-03-06 01:39:45,FALSE,NA,"970836299707043841",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","gemini_and_me",1,TRUE,FALSE,NA,NA
